NAME	SIZE	ES	NES	NOM_p-val	FDR_q-val	FWER_p-val	RANK_AT_MAX	LEADING_EDGE		
GOBP_MULTIVESICULAR_BODY_ORGANIZATION	17	0.6124545	1.7555411	0.017964073	0.2031687	0.689	1073	"tags=18%,"	"list=10%,"	signal=20%
GOBP_FOLIC_ACID_CONTAINING_COMPOUND_METABOLIC_PROCESS	16	0.7694714	1.7831675	0.002024292	0.20330463	0.598	1503	"tags=50%,"	"list=14%,"	signal=58%
GOBP_PROTEIN_LOCALIZATION_TO_LYSOSOME	31	0.53697115	1.7566273	0.021276595	0.23391214	0.688	1073	"tags=16%,"	"list=10%,"	signal=18%
GOBP_DIOL_BIOSYNTHETIC_PROCESS	16	0.7027023	1.7261603	0.001934236	0.25350142	0.771	1553	"tags=44%,"	"list=15%,"	signal=51%
GOBP_KETONE_BIOSYNTHETIC_PROCESS	23	0.6784115	1.7834263	0.001976285	0.25365293	0.597	1102	"tags=35%,"	"list=10%,"	signal=39%
GOBP_LATE_ENDOSOME_TO_VACUOLE_TRANSPORT	20	0.5875916	1.8339257	0.018	0.26239297	0.417	1073	"tags=15%,"	"list=10%,"	signal=17%
GOBP_ENDOSOME_TRANSPORT_VIA_MULTIVESICULAR_BODY_SORTING_PATHWAY	23	0.6168982	1.7979035	0.020283977	0.27791357	0.537	1073	"tags=17%,"	"list=10%,"	signal=19%
GOBP_PTERIDINE_CONTAINING_COMPOUND_METABOLIC_PROCESS	22	0.7068306	1.8469293	0	0.43528435	0.38	1553	"tags=45%,"	"list=15%,"	signal=53%
GOBP_LATE_ENDOSOME_TO_VACUOLE_TRANSPORT_VIA_MULTIVESICULAR_BODY_SORTING_PATHWAY	15	0.6333192	1.6643184	0.038854804	0.4590809	0.911	731	"tags=13%,"	"list=7%,"	signal=14%
GOBP_CELLULAR_RESPONSE_TO_CORTICOSTEROID_STIMULUS	45	0.548407	1.6206696	0.005769231	0.6686226	0.975	1102	"tags=29%,"	"list=10%,"	signal=32%
GOBP_SPLEEN_DEVELOPMENT	17	0.61743164	1.5248352	0.036750484	0.81788445	1	744	"tags=29%,"	"list=7%,"	signal=32%
GOBP_RESPONSE_TO_ARSENIC_CONTAINING_SUBSTANCE	23	0.60606784	1.5286976	0.035315987	0.8282654	1	478	"tags=17%,"	"list=5%,"	signal=18%
GOBP_MEMBRANE_LIPID_CATABOLIC_PROCESS	23	0.59863645	1.5165987	0.03952569	0.84054387	1	805	"tags=22%,"	"list=8%,"	signal=23%
GOBP_NEGATIVE_REGULATION_OF_BLOOD_CIRCULATION	17	0.6667914	1.5322822	0.009259259	0.8426592	1	1181	"tags=35%,"	"list=11%,"	signal=40%
GOBP_REGULATION_OF_ACTIVIN_RECEPTOR_SIGNALING_PATHWAY	23	0.6155434	1.570265	0.04183267	0.8580456	0.996	1105	"tags=26%,"	"list=10%,"	signal=29%
GOBP_VACUOLAR_TRANSPORT	95	0.37732798	1.5416797	0.06273764	0.8629763	0.999	1073	"tags=11%,"	"list=10%,"	signal=12%
GOBP_RNA_TEMPLATED_DNA_BIOSYNTHETIC_PROCESS	38	0.50056237	1.5335332	0.037950665	0.8791935	1	2519	"tags=34%,"	"list=24%,"	signal=45%
GOBP_DIOL_METABOLIC_PROCESS	22	0.5066374	1.5008974	0.035019454	0.88482714	1	1094	"tags=27%,"	"list=10%,"	signal=30%
GOBP_PROTEIN_HOMOTETRAMERIZATION	29	0.5358867	1.5045682	0.019607844	0.89350426	1	489	"tags=24%,"	"list=5%,"	signal=25%
GOBP_NEGATIVE_REGULATION_OF_OSTEOCLAST_DIFFERENTIATION	20	0.6331154	1.5503457	0.023529412	0.90257025	0.999	2031	"tags=45%,"	"list=19%,"	signal=56%
GOBP_GLUTAMATE_METABOLIC_PROCESS	16	0.71423644	1.5729542	0.00814664	0.90452844	0.996	1001	"tags=38%,"	"list=9%,"	signal=41%
GOBP_AUTOPHAGOSOME_MATURATION	39	0.51079506	1.556918	0.03816794	0.9085555	0.999	1487	"tags=15%,"	"list=14%,"	signal=18%
GOBP_NEGATIVE_REGULATION_OF_DNA_BIOSYNTHETIC_PROCESS	19	0.6272749	1.5416958	0.02173913	0.91684574	0.999	1602	"tags=42%,"	"list=15%,"	signal=50%
GOBP_PROTEIN_LOCALIZATION_TO_VACUOLE	46	0.40271848	1.5751275	0.050301813	0.9665555	0.996	1073	"tags=13%,"	"list=10%,"	signal=14%
GOBP_SYNAPTIC_MEMBRANE_ADHESION	19	0.20448098	0.6275624	0.8559838	0.9924067	1	8433	"tags=100%,"	"list=80%,"	signal=489%
GOBP_SMOOTH_MUSCLE_CELL_DIFFERENTIATION	43	0.249656	0.6288459	0.96673596	0.99290806	1	1327	"tags=16%,"	"list=13%,"	signal=19%
GOBP_T_CELL_LINEAGE_COMMITMENT	17	0.27676442	0.630787	0.98155737	0.9931417	1	662	"tags=18%,"	"list=6%,"	signal=19%
GOBP_POSITIVE_REGULATION_OF_PLASMA_MEMBRANE_BOUNDED_CELL_PROJECTION_ASSEMBLY	77	0.16890149	0.6314587	0.9724951	0.993894	1	1810	"tags=17%,"	"list=17%,"	signal=20%
GOBP_TRANSCRIPTION_BY_RNA_POLYMERASE_I	34	0.1955578	0.63197607	0.92460316	0.994709	1	3249	"tags=44%,"	"list=31%,"	signal=63%
GOBP_REGULATION_OF_DENDRITIC_SPINE_DEVELOPMENT	27	0.21924977	0.6152976	0.877551	0.9950486	1	137	"tags=4%,"	"list=1%,"	signal=4%
