NAME	SIZE	ES	NES	NOM_p-val	FDR_q-val	FWER_p-val	RANK_AT_MAX	LEADING_EDGE			
GOBP_INNER_MITOCHONDRIAL_MEMBRANE_ORGANIZATION	29	0.56723344	1.9935898	0	0.14522038	0.093	2241	"tags=34%,"	"list=21%,"	signal=44%	
GOBP_PROTEIN_INSERTION_INTO_ER_MEMBRANE	19	0.514735	1.889255	0.001949318	0.25480828	0.264	4030	"tags=63%,"	"list=38%,"	signal=102%	
GOBP_RETROGRADE_VESICLE_MEDIATED_TRANSPORT_GOLGI_TO_ENDOPLASMIC_RETICULUM	38	0.5326739	1.8304992	0.013944224	0.34770635	0.429	1839	"tags=18%,"	"list=17%,"	signal=22%	
GOBP_POSITIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS	15	0.7427187	1.7652937	0.001988072	0.47448653	0.643	1671	"tags=47%,"	"list=16%,"	signal=55%	
GOBP_ZINC_ION_HOMEOSTASIS	20	0.6645726	1.7811049	0.002012072	0.47822872	0.591	2556	"tags=55%,"	"list=24%,"	signal=72%	
GOBP_AMP_METABOLIC_PROCESS	16	0.61806375	1.6989168	0.001923077	0.58562475	0.833	1977	"tags=31%,"	"list=19%,"	signal=38%	
GOBP_STRESS_FIBER_ASSEMBLY	62	0.5260188	1.7037067	0.001901141	0.62383384	0.827	1096	"tags=23%,"	"list=10%,"	signal=25%	
GOBP_FIBROBLAST_MIGRATION	35	0.528265	1.5200087	0.019607844	0.63053435	0.999	2145	"tags=31%,"	"list=20%,"	signal=39%	
GOBP_COMPLEMENT_ACTIVATION	25	0.56860405	1.5285052	0.009765625	0.6311898	0.999	1055	"tags=36%,"	"list=10%,"	signal=40%	
GOBP_PHOSPHATIDYLSERINE_METABOLIC_PROCESS	19	0.6392299	1.5173075	0.05	0.63511246	0.999	459	"tags=16%,"	"list=4%,"	signal=16%	
GOBP_NEGATIVE_REGULATION_OF_METAPHASE_ANAPHASE_TRANSITION_OF_CELL_CYCLE	33	0.5876707	1.5299749	0.027237354	0.63558495	0.999	1138	"tags=27%,"	"list=11%,"	signal=30%	
GOBP_RECEPTOR_INTERNALIZATION	82	0.4141612	1.5211868	0.002079002	0.6356976	0.999	829	"tags=13%,"	"list=8%,"	signal=14%	
GOBP_SNRNA_PROCESSING	15	0.61915123	1.5228584	0.060311284	0.6386198	0.999	277	"tags=13%,"	"list=3%,"	signal=14%	
GOBP_GLUTAMATE_SECRETION	22	0.5900823	1.5127493	0.07645875	0.63994104	0.999	485	"tags=14%,"	"list=5%,"	signal=14%	
GOBP_PORE_COMPLEX_ASSEMBLY	16	0.5802199	1.5314527	0.045725647	0.64020157	0.999	1507	"tags=25%,"	"list=14%,"	signal=29%	
GOBP_ATTACHMENT_OF_MITOTIC_SPINDLE_MICROTUBULES_TO_KINETOCHORE	16	0.6464957	1.5104828	0.031007752	0.64148486	0.999	1180	"tags=31%,"	"list=11%,"	signal=35%	
GOBP_GOLGI_ORGANIZATION	86	0.34948888	1.514055	0.039138943	0.64312553	0.999	1173	"tags=12%,"	"list=11%,"	signal=13%	
GOBP_TAIL_ANCHORED_MEMBRANE_PROTEIN_INSERTION_INTO_ER_MEMBRANE	15	0.51925987	1.7243485	0.022727273	0.64487135	0.781	4030	"tags=60%,"	"list=38%,"	signal=97%	
GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	95	0.45026672	1.5238366	0.013435701	0.6451528	0.999	891	"tags=17%,"	"list=8%,"	signal=18%	
