#1.2																						
11870	21																					
NAME	Description	SRX033480	SRX033488	SRX033481	SRX033489	SRX033482	SRX033490	SRX033483	SRX033476	SRX033478	SRX033479	SRX033472	SRX033473	SRX033474	SRX033475	SRX033491	SRX033484	SRX033492	SRX033485	SRX033493	SRX033486	SRX033494
ENSMUSG00000000001	na	6.945932185	6.914715837	6.711885081	6.882349094	6.869698188	6.846104076	6.877634277	6.510420465	6.881916585	6.266083812	6.219042944	6.61847767	6.389080385	6.695377844	6.727904953	6.920520341	6.839288259	6.388871038	6.697062005	6.781483238	6.988916728
ENSMUSG00000000028	na	-2.583498369	-2.040449701	-2.455533065	-2.120465922	-0.990354157	-2.219087637	-2.882253907	0.542329713	0.388830942	-1.477628615	-1.432008747	-1.646746667	-1.299752714	-1.268481563	-2.29723461	-0.875194666	-2.256108764	-1.228290285	-0.700018364	-1.346081262	-0.295644515
ENSMUSG00000000037	na	-2.583498369	-2.040449701	-0.870570564	-0.245996804	-2.575316658	-0.634125136	-2.882253907	-3.364560882	-3.311608776	-3.062591115	0.152953754	-1.646746667	-1.299752714	-2.853444064	-2.29723461	-0.875194666	-2.256108764	-1.228290285	-2.284980865	-1.346081262	-1.433148038
ENSMUSG00000000056	na	2.842766386	2.91374661	2.90201894	2.484396136	2.068539532	2.990365729	2.899105807	3.111172549	2.710759037	3.507264493	3.322878755	3.108140835	3.046022123	2.927915649	2.656961701	2.635767254	2.498778738	2.613011969	2.844302152	2.850315951	2.752718507
ENSMUSG00000000058	na	2.370697941	2.817531295	2.188323125	2.403096034	2.282664338	2.218317675	2.403148312	1.844892483	3.164124655	2.429261981	2.112311769	2.383000676	2.997927835	2.100752246	2.226327346	2.357466091	2.425715276	2.316030231	2.012699684	1.712812427	2.077813881
ENSMUSG00000000078	na	7.431916683	7.146902373	6.955977923	6.962570113	6.988832832	6.944981244	7.163505755	6.284695295	6.879450439	6.586665062	6.355893812	6.521507582	6.531026554	7.054948557	6.97966523	6.9964026	7.310579565	7.124856541	7.206204162	7.212339451	6.749742854
ENSMUSG00000000088	na	6.511898654	6.984689862	6.650375443	6.83663612	6.660697534	6.547993288	6.631473689	6.330667409	6.516527708	6.310273945	6.870249368	6.867638643	6.807028305	6.77408982	7.289605178	7.581775716	6.906282565	6.939963964	6.958986462	7.279627581	7.224349062
ENSMUSG00000000093	na	1.940063587	1.989297643	2.299354437	2.403096034	3.206043056	2.535799865	2.24702911	3.264795738	3.258246832	3.127233444	2.815918766	2.745570756	2.669873637	2.50410794	2.307627449	1.75707355	2.425715276	3.376571773	2.107336558	1.46127366	2.394670986
ENSMUSG00000000094	na	-0.998535868	-1.303484106	1.003898554	-0.898073501	-0.990354157	0.102840458	-2.882253907	0.094870736	-0.141683774	-0.74066302	-3.016971248	-3.231709168	-2.884715214	-2.853444064	-3.88219711	-3.19712276	-3.841071265	-2.813252786	-3.869943366	-2.931043763	-3.755076133
ENSMUSG00000000120	na	2.70190385	2.257230848	3.325826648	4.082474137	3.206043056	3.544678017	3.885930418	5.057503884	3.164124655	2.363673639	3.971713439	2.549650546	2.72999463	2.004536931	4.479746663	4.629425727	0.802784925	4.326298567	1.174450754	1.712812427	2.959169384
ENSMUSG00000000125	na	2.70190385	1.989297643	2.829869154	2.703962513	2.916536439	2.964134187	2.071942404	3.349684635	2.754480415	2.770298899	1.841009747	2.745570756	2.787710128	2.97944595	2.34662158	2.294730336	1.288211752	1.434674728	1.911416348	1.592518193	2.26729168
ENSMUSG00000000126	na	5.023831945	4.978214144	4.230967462	3.959907494	4.501498939	4.072466809	4.725076407	3.010478549	5.032687132	5.708898354	5.353716159	5.415749259	6.282702931	5.399221368	4.621628628	4.079001645	4.897020995	5.013295702	4.763051832	4.600337698	3.837380904
ENSMUSG00000000127	na	5.178052863	4.838112172	4.928171227	4.673949944	4.719304091	4.707702516	4.931527285	4.652247405	4.449942457	4.484303345	4.619653373	4.60749462	4.662179245	4.783180556	4.728827687	4.739515179	5.001279079	4.425151954	4.959779369	4.584656076	4.848550212
ENSMUSG00000000131	na	8.162175955	8.304216082	8.10575488	8.31589861	8.264674413	8.281754243	8.271931303	8.352687124	8.229003632	8.452615915	8.536178028	8.57765704	8.493037581	8.475791678	8.368397397	8.377943704	8.52607043	8.537133957	8.411696934	8.538089257	8.231832491
ENSMUSG00000000148	na	-0.998535868	-2.040449701	-2.455533065	-0.898073501	-2.575316658	-3.804050138	-2.882253907	-1.042632787	-3.311608776	-1.477628615	-1.432008747	-1.646746667	-0.56278712	-0.531515969	-1.560269015	-3.19712276	-2.256108764	-2.813252786	-2.284980865	-2.931043763	-1.433148038
ENSMUSG00000000149	na	8.265906732	8.619843379	8.346175294	8.634143256	8.62251434	8.553226937	8.458152584	9.344307458	8.844790369	8.921471254	8.729123136	8.904320682	8.636394429	8.413927867	8.441702072	8.372258199	8.226699193	8.444724273	8.381243138	8.216797131	8.490773638
ENSMUSG00000000154	na	-2.583498369	-1.303484106	-2.455533065	-2.120465922	-0.990354157	-3.804050138	-2.882253907	-3.364560882	-0.989680681	-3.062591115	-1.432008747	-1.646746667	-2.884715214	-2.853444064	-2.29723461	-0.389767838	-2.256108764	-2.813252786	-3.869943366	-1.346081262	-0.947721211
ENSMUSG00000000159	na	-2.583498369	-3.625412201	0.714391936	-2.120465922	-2.575316658	-0.996695216	-2.882253907	-1.779598382	-0.504253854	-1.477628615	-3.016971248	-0.909781073	-2.884715214	-2.853444064	-2.29723461	-3.19712276	-2.256108764	-2.813252786	-3.869943366	-2.931043763	-1.433148038
ENSMUSG00000000167	na	-2.583498369	0.075027517	1.244906653	-0.535503421	-2.575316658	0.443877376	-2.882253907	-1.779598382	-3.311608776	-0.74066302	-0.695043153	-0.424354246	0.285209787	-1.268481563	-0.712272109	0.503316958	1.203322855	-0.005897864	0.773912824	-0.123688841	0.888780056
ENSMUSG00000000168	na	1.940063587	2.440676989	2.188323125	2.177214627	2.378879653	1.622214617	2.071942404	2.061703872	2.18024432	1.79538988	2.268430971	1.626271827	1.870172288	2.190950055	1.475354894	1.557764742	1.288211752	0.646178833	0.773912824	1.46127366	1.799512718
ENSMUSG00000000171	na	7.38372789	7.632564857	7.350210807	7.418046375	7.453970569	7.306433172	7.489522738	7.303437653	7.247768315	7.244609694	7.656337828	7.611426743	7.532082313	7.374171879	7.638912533	7.479715846	7.491524793	7.188155409	7.389211403	7.341586022	7.656964381
ENSMUSG00000000182	na	-0.261570274	-2.040449701	-0.870570564	0.382034418	-2.575316658	-0.634125136	-2.882253907	-1.779598382	-0.989680681	0.84429948	0.68346847	0.227722451	-0.56278712	-1.268481563	-0.422765492	-1.61216026	-1.033716343	1.71030917	-2.284980865	0.238881239	-1.433148038
ENSMUSG00000000184	na	6.227073266	6.059336419	6.024247199	6.000203965	6.100640375	6.177517144	6.213143116	6.747878624	6.513349965	6.670424206	5.892921836	6.004305024	5.611139812	6.044401392	5.623614444	5.794399086	5.790105791	6.166886792	6.041448622	5.892323477	5.828006634
ENSMUSG00000000197	na	7.684458715	7.555118606	7.793580388	7.684202916	7.615742557	7.571532375	7.622565081	7.631912606	7.4069241	7.487193553	7.491813914	7.453915672	7.380899832	7.643409713	7.310712109	7.778008697	7.367772726	7.697511382	7.602239751	7.771994626	7.656964381
ENSMUSG00000000202	na	2.274482626	2.207477813	2.40244793	2.360660768	1.512146184	2.304474319	2.071942404	3.143233758	2.917209915	2.718768598	3.2868095	2.496211287	2.896644499	2.190950055	2.560746385	1.660858235	2.225017926	2.544299219	1.911416348	2.023152548	2.511710407
ENSMUSG00000000216	na	-0.261570274	-1.303484106	-2.455533065	-1.383500328	-2.575316658	-0.634125136	-0.560325812	-1.042632787	-3.311608776	-0.74066302	-0.695043153	-0.909781073	-1.299752714	-1.268481563	-3.88219711	-1.61216026	-0.140631547	-2.813252786	-0.169503647	-2.931043763	-3.755076133
ENSMUSG00000000223	na	5.255705419	5.394178527	5.709373862	5.297386593	5.361321281	5.215540591	5.389209121	4.979735026	5.412905077	5.449161538	5.245123598	5.415749259	5.414492804	5.568620702	5.275149825	5.353624025	5.496550637	5.77546185	5.663386367	5.701951434	5.196208582
ENSMUSG00000000247	na	3.031211475	3.758292091	3.377356949	3.237086083	3.401963266	3.251232298	3.048483431	3.349684635	3.374891751	4.056349957	3.552884361	3.45479136	4.034148023	2.50410794	3.151225891	2.992701798	3.435053141	3.786660057	3.163479636	3.297774928	3.256151122
ENSMUSG00000000253	na	3.347238968	3.493528871	3.377356949	3.745782689	3.728464091	3.903308994	3.183835284	3.815348208	3.317747844	3.346799821	4.400881267	4.390342652	3.558228281	3.833056463	3.85251251	3.517122757	3.674628574	3.117484552	3.629902521	2.623545089	3.85225418
ENSMUSG00000000263	na	-0.261570274	-2.040449701	-0.870570564	-0.535503421	-2.575316658	-0.344618519	0.577177712	0.883366631	0.147822843	0.107333886	0.442460371	-0.909781073	1.202747627	1.538873359	0.641364846	2.160429244	-1.51914317	0.356672216	0.03694723	0.238881239	-0.295644515
ENSMUSG00000000275	na	1.808819054	1.732139803	1.631929776	1.579973796	1.672610856	0.719511818	0.818185812	2.363359572	2.303101068	2.718768598	2.764388466	2.650933882	1.870172288	2.356009301	0.872690392	2.357466091	1.940288449	2.04472821	0.98803763	1.592518193	1.736776963
ENSMUSG00000000276	na	7.777348715	7.578547502	7.735526149	7.620439158	7.618208703	7.51166552	7.614599871	7.389491485	7.486863025	7.793056051	7.181473794	7.485110294	7.318632789	7.615179979	7.199286328	7.358425011	7.34442366	7.156853105	7.259983568	7.575759675	7.235736946
ENSMUSG00000000278	na	5.376503563	5.000296642	4.910789149	4.898197922	4.719304091	5.296612201	5.156665083	4.59544105	4.833049467	4.801595029	4.366733045	4.447770932	4.941833273	5.035299185	4.849121921	4.703744048	5.161743751	4.517664093	5.098723428	4.600337698	5.016413336
ENSMUSG00000000282	na	1.808819054	1.800852553	0.351821857	1.504024943	1.125123061	0.950837364	0.818185812	0.542329713	1.080708647	1.692296387	-0.209616326	2.125842837	1.022175381	1.538873359	1.732512734	1.660858235	1.113125046	1.941634717	1.259339651	1.46127366	1.289317986
ENSMUSG00000000290	na	0.87593325	-0.165980583	-0.13360497	0.686889	1.817000765	-0.344618519	-0.074898985	1.493420113	-0.141683774	0.637848603	1.230956266	0.675181428	-0.56278712	0.846995654	0.365730403	-0.027197759	-0.381639646	-0.491324691	0.03694723	-0.123688841	0.49285138
ENSMUSG00000000296	na	5.733914245	6.09739533	6.234464906	6.220867572	5.896358557	6.183213874	5.76520452	6.125287078	5.757169502	5.735070411	5.413481304	5.868953171	5.31985593	5.6263362	5.816507556	5.554421299	5.753253339	5.063264161	5.739235373	5.404346592	6.126037827
ENSMUSG00000000303	na	0.223856553	-2.040449701	-0.870570564	-2.120465922	-2.575316658	-3.804050138	-1.297291406	-3.364560882	-1.726646275	-1.477628615	-3.016971248	-1.646746667	-1.299752714	-1.268481563	-0.422765492	-1.61216026	-0.140631547	1.09363781	-2.284980865	-0.123688841	-1.433148038
ENSMUSG00000000317	na	-2.583498369	-1.303484106	-0.870570564	-3.705428423	-2.575316658	-3.804050138	0.577177712	-1.779598382	-1.726646275	-1.477628615	-1.432008747	-3.231709168	-1.299752714	-1.268481563	-1.560269015	-1.61216026	-3.841071265	-1.228290285	-2.284980865	-1.346081262	-2.170113633
ENSMUSG00000000320	na	-2.583498369	-0.818057279	-2.455533065	-0.245996804	-0.253388563	-1.482122043	-2.882253907	-3.364560882	-0.504253854	-0.74066302	0.152953754	-3.231709168	-1.299752714	-1.268481563	-3.88219711	-0.875194666	-0.140631547	-0.491324691	-2.284980865	-2.931043763	-1.433148038
ENSMUSG00000000326	na	6.092458664	6.447390333	6.248370508	6.440503723	6.352461305	6.31618774	6.516489785	6.766009681	6.217821778	6.736690506	6.175321567	6.34760677	5.945007521	5.697302721	5.977337676	5.924410757	5.871455736	6.003730838	5.849445455	5.860119126	5.943628533
ENSMUSG00000000340	na	6.1879911	5.987456296	6.155491732	5.95456747	5.829824806	5.98221949	5.875969308	5.366758149	5.773199612	4.987257434	4.919666691	4.982609953	4.707741823	5.48194629	5.734351733	5.632599975	5.608077381	5.401066335	5.779312812	5.78663266	5.762593255
ENSMUSG00000000346	na	7.507937017	7.576099143	7.211578477	7.359987712	7.462230296	7.496874353	7.404303855	7.062751962	7.302180689	6.924672897	6.85493399	7.111476548	6.962342132	7.116661826	7.226980593	7.358425011	7.400316099	7.237956155	7.444639879	7.449417302	7.329067877
ENSMUSG00000000365	na	1.323392226	1.503870816	1.936784358	1.652123582	1.948245298	1.150146173	0.287671095	0.094870736	1.443278726	1.329726307	1.230956266	1.291852788	1.202747627	0.605987554	1.327256255	1.446733429	0.551246158	1.434674728	1.684645486	1.823843739	2.077813881
ENSMUSG00000000374	na	8.616787236	8.686619858	8.57168182	8.664986546	8.664878396	8.619328439	8.561207706	8.503103966	8.408207827	8.703523642	8.745826015	8.742346855	8.652988533	8.565989486	8.680283835	8.642474723	8.746471877	8.798233158	8.637603538	8.689634279	8.505549423
ENSMUSG00000000399	na	7.977789576	8.159631514	7.994647182	8.083697624	7.99548778	7.911482926	8.193893621	8.142738242	7.980137505	7.793056051	7.976674812	7.972250536	7.953700861	7.709752208	8.061416591	8.106087189	7.984285077	7.516543553	7.932169053	7.654857687	8.122591441
