#1.2																						
8413	21																					
NAME	Description	SRX033480	SRX033488	SRX033481	SRX033489	SRX033482	SRX033490	SRX033483	SRX033476	SRX033478	SRX033479	SRX033472	SRX033473	SRX033474	SRX033475	SRX033491	SRX033484	SRX033492	SRX033485	SRX033493	SRX033486	SRX033494
ENSMUSG00000000001	na	6.96265348	6.905124407	6.745229596	6.860565099	6.886513278	6.824604416	6.888941472	6.502779595	6.89838417	6.29158067	6.225264823	6.611545232	6.415039539	6.708603458	6.713480217	6.924416887	6.827582104	6.401578177	6.681715207	6.784477349	6.991620287
ENSMUSG00000000056	na	2.85948768	2.90415518	2.935363455	2.462612142	2.085354622	2.968866069	2.910413003	3.103531678	2.727226622	3.532761351	3.329100634	3.101208398	3.071981277	2.941141263	2.642536965	2.6396638	2.487072583	2.625719108	2.828955354	2.853310062	2.755422066
ENSMUSG00000000058	na	2.387419236	2.807939865	2.22166764	2.38131204	2.299479427	2.196818015	2.414455508	1.837251613	3.18059224	2.454758839	2.118533649	2.376068239	3.023886989	2.11397786	2.21190261	2.361362637	2.414009121	2.32873737	1.997352886	1.715806539	2.08051744
ENSMUSG00000000078	na	7.448637978	7.137310943	6.989322439	6.940786119	7.005647922	6.923481584	7.17481295	6.277054425	6.895918024	6.61216192	6.362115692	6.514575144	6.556985708	7.068174171	6.965240494	7.000299146	7.29887341	7.137563679	7.190857364	7.215333563	6.752446414
ENSMUSG00000000088	na	6.528619948	6.975098432	6.683719959	6.814852125	6.677512624	6.526493628	6.642780885	6.323026539	6.532995294	6.335770803	6.876471247	6.860706205	6.832987459	6.787315434	7.275180442	7.585672262	6.89457641	6.952671102	6.943639664	7.282621693	7.227052621
ENSMUSG00000000093	na	1.956784882	1.979706213	2.332698953	2.38131204	3.222858145	2.514300205	2.258336306	3.257154867	3.274714418	3.152730302	2.822140646	2.738638318	2.695832791	2.517333554	2.293202713	1.760970096	2.414009121	3.389278912	2.09198976	1.464267772	2.397374545
ENSMUSG00000000120	na	2.718625144	2.247639418	3.359171164	4.060690142	3.222858145	3.523178356	3.897237614	5.049863014	3.18059224	2.389170498	3.977935318	2.542718108	2.755953784	2.017762545	4.465321927	4.633322273	0.79107877	4.339005705	1.159103956	1.715806539	2.961872944
ENSMUSG00000000125	na	2.718625144	1.979706213	2.863213669	2.682178519	2.933351528	2.942634527	2.083249599	3.342043765	2.770948	2.795795757	1.847231627	2.738638318	2.813669281	2.992671564	2.332196844	2.298626882	1.276505597	1.447381866	1.89606955	1.595512305	2.269995239
ENSMUSG00000000126	na	5.040553239	4.968622714	4.264311978	3.9381235	4.518314029	4.050967149	4.736383603	3.002837679	5.049154717	5.734395212	5.359938038	5.408816821	6.308662085	5.412446982	4.607203892	4.082898191	4.88531484	5.02600284	4.747705034	4.603331809	3.840084463
ENSMUSG00000000127	na	5.194774158	4.828520742	4.961515743	4.65216595	4.736119181	4.686202856	4.94283448	4.644606535	4.466410042	4.509800203	4.625875252	4.600562183	4.688138399	4.79640617	4.714402951	4.743411725	4.989572923	4.437859092	4.944432572	4.587650187	4.851253771
ENSMUSG00000000131	na	8.17889725	8.294624652	8.139099396	8.294114616	8.281489502	8.260254582	8.283238498	8.345046253	8.245471218	8.478112773	8.542399907	8.570724603	8.518996734	8.489017291	8.353972661	8.38184025	8.514364275	8.549841095	8.396350137	8.541083369	8.234536051
ENSMUSG00000000149	na	8.282628026	8.610251949	8.379519809	8.612359261	8.63932943	8.531727277	8.46945978	9.336666588	8.861257954	8.946968112	8.735345015	8.897388244	8.662353583	8.427153481	8.427277336	8.376154745	8.214993038	8.457431411	8.36589634	8.219791242	8.493477197
ENSMUSG00000000168	na	1.956784882	2.431085559	2.22166764	2.155430632	2.395694742	1.600714957	2.083249599	2.054063002	2.196711906	1.820886738	2.27465285	1.61933939	1.896131442	2.204175669	1.460930158	1.561661288	1.276505597	0.658885971	0.758566026	1.464267772	1.802216278
ENSMUSG00000000171	na	7.400449184	7.622973427	7.383555323	7.396262381	7.470785659	7.284933512	7.500829933	7.295796783	7.2642359	7.270106552	7.662559707	7.604494306	7.558041467	7.387397493	7.624487797	7.483612392	7.479818638	7.200862547	7.373864605	7.344580134	7.659667941
ENSMUSG00000000184	na	6.24379456	6.049744989	6.057591715	5.97841997	6.117455465	6.156017484	6.224450312	6.740237754	6.52981755	6.695921064	5.899143715	5.997372587	5.637098966	6.057627006	5.609189708	5.798295632	5.778399636	6.17959393	6.026101824	5.895317589	5.830710193
ENSMUSG00000000197	na	7.70118001	7.545527176	7.826924903	7.662418922	7.632557646	7.550032715	7.633872277	7.624271736	7.423391685	7.512690411	7.498035794	7.446983235	7.406858986	7.656635327	7.296287373	7.781905243	7.356066571	7.710218521	7.586892953	7.774988738	7.659667941
ENSMUSG00000000202	na	2.291203921	2.197886383	2.435792446	2.338876774	1.528961273	2.282974659	2.083249599	3.135592888	2.9336775	2.744265456	3.29303138	2.489278849	2.922603653	2.204175669	2.54632165	1.664754781	2.213311771	2.557006357	1.89606955	2.026146659	2.514413967
