#1.2																						
11870	21																					
Name	Description	SRX033480	SRX033488	SRX033481	SRX033489	SRX033482	SRX033490	SRX033483	SRX033476	SRX033478	SRX033479	SRX033472	SRX033473	SRX033474	SRX033475	SRX033491	SRX033484	SRX033492	SRX033485	SRX033493	SRX033486	SRX033494
ENSMUSG00000000001	na	9.245527912	9.197076037	9.04984474	9.159503194	9.183668621	9.131407034	9.179205302	8.813312078	9.172378238	8.610870898	8.54055317	8.916925913	8.716281858	9.004537804	9.014284129	9.21812513	9.117702684	8.72360329	8.994122145	9.079217063	9.267596568
ENSMUSG00000000028	na	4.105739066	4.404967452	4.105739066	4.396054442	4.540246349	4.386946355	4.105739066	4.95968101	4.915642307	4.471578	4.47358176	4.448276968	4.49361447	4.498325043	4.378828179	4.597993374	4.382627206	4.504414849	4.653539545	4.487102065	4.741499724
ENSMUSG00000000037	na	4.105739066	4.404967452	4.560992448	4.750617661	4.105739066	4.665526153	4.105739066	4.105739066	4.105739066	4.105739066	4.835610336	4.448276968	4.49361447	4.105739066	4.378828179	4.597993374	4.382627206	4.504414849	4.380870577	4.487102065	4.509769196
ENSMUSG00000000056	na	5.960855965	5.999847054	6.009081847	5.758669452	5.554912871	6.045161561	5.995992841	6.112369767	5.885721957	6.378207839	6.238814864	6.111694978	6.079140111	6.010569602	5.852096045	5.848601994	5.76640871	5.833417797	5.962024095	5.962341491	5.908826611
ENSMUSG00000000058	na	5.701300758	5.944435689	5.619002243	5.716444352	5.661223698	5.627475838	5.721516451	5.446407264	6.151994047	5.73784141	5.563671023	5.704670726	6.050243903	5.567569979	5.628771146	5.70069051	5.72833068	5.676079216	5.530949642	5.388040645	5.560061988
ENSMUSG00000000078	na	9.709019546	9.41709945	9.280074513	9.23520025	9.296360364	9.224631072	9.450287253	8.605199506	9.170053129	8.907316172	8.665995641	8.826730671	8.847740976	9.343646894	9.251182337	9.289907835	9.564753434	9.414333816	9.475102868	9.487243212	9.04231798
ENSMUSG00000000088	na	8.838402256	9.263192783	8.992179029	9.116472973	8.987215578	8.852635576	8.948117635	8.647384509	8.830465982	8.651445077	9.145136926	9.150451988	9.105821688	9.078364216	9.545817122	9.849570915	9.18079104	9.238912965	9.240423721	9.551501761	9.491271925
ENSMUSG00000000093	na	5.489185667	5.517300226	5.675419895	5.716444352	6.186857306	5.789811055	5.641679893	6.207365684	6.210655402	6.135150141	5.932874384	5.899582228	5.86121132	5.772589057	5.669098428	5.414990065	5.72833068	6.29056416	5.575535144	5.282347938	5.716474862
ENSMUSG00000000094	na	4.537418436	4.528160254	5.107687573	4.606905184	4.540246349	4.842877383	4.105739066	4.830391747	4.769860641	4.621745893	4.105739066	4.105739066	4.105739066	4.105739066	4.105739066	4.105739066	4.105739066	4.105739066	4.105739066	4.105739066	4.105739066
ENSMUSG00000000120	na	5.880390809	5.645844995	6.271857674	6.763593922	6.186857306	6.393321817	6.636941669	7.527726524	6.151994047	5.703763089	6.678566746	5.792137731	5.894802158	5.521679825	7.062739824	7.197357867	5.049464458	6.962030702	5.182749594	5.388040645	6.027393612
ENSMUSG00000000125	na	5.880390809	5.517300226	5.966665166	5.877010117	6.010157526	6.029685141	5.555800168	6.261180187	5.910223707	5.92401326	5.437969906	5.899582228	5.927492609	6.041104159	5.688741079	5.668726336	5.221142567	5.273439761	5.484464155	5.336591722	5.652057946
ENSMUSG00000000126	na	7.519285714	7.467266197	6.908421773	6.675043394	7.105465462	6.761219495	7.27413696	6.051783415	7.517287384	8.10852596	7.773184003	7.833891181	8.618385523	7.833619697	7.173645841	6.776768342	7.393738685	7.510341669	7.293694545	7.166875729	6.594011551
ENSMUSG00000000127	na	7.64872932	7.352621271	7.461315436	7.214904439	7.278541584	7.24706035	7.442152202	7.198288212	7.049335592	7.084936007	7.167707657	7.165228349	7.217981048	7.318048066	7.25881948	7.28532263	7.479336767	7.037961503	7.453774878	7.154495398	7.361664919
ENSMUSG00000000131	na	10.41644012	10.53495102	10.38731495	10.53902169	10.52707552	10.51188129	10.52153892	10.57679957	10.46809025	10.69924259	10.75195999	10.80060263	10.73081328	10.71759235	10.59010663	10.623399	10.74337737	10.7821403	10.64158044	10.77224503	10.46462315
ENSMUSG00000000148	na	4.537418436	4.404967452	4.105739066	4.606905184	4.105739066	4.105739066	4.105739066	4.566916727	4.105739066	4.471578	4.47358176	4.448276968	4.652650563	4.659252933	4.491373154	4.105739066	4.382627206	4.105739066	4.380870577	4.105739066	4.509769196
ENSMUSG00000000149	na	10.51773425	10.84412393	10.62224131	10.85077789	10.87774755	10.77762486	10.70378178	11.5525093	11.07192899	11.15999245	10.94138715	11.12174091	10.87147929	10.6569831	10.66184545	10.61783467	10.45053842	10.69154107	10.61177671	10.45782009	10.71789823
ENSMUSG00000000154	na	4.105739066	4.528160254	4.105739066	4.396054442	4.540246349	4.105739066	4.105739066	4.105739066	4.577397983	4.105739066	4.47358176	4.448276968	4.105739066	4.105739066	4.378828179	4.70718881	4.382627206	4.105739066	4.105739066	4.487102065	4.599774137
ENSMUSG00000000159	na	4.105739066	4.105739066	5.005380891	4.396054442	4.105739066	4.591281042	4.105739066	4.432532044	4.682135697	4.471578	4.105739066	4.589036414	4.105739066	4.105739066	4.378828179	4.105739066	4.382627206	4.105739066	4.105739066	4.105739066	4.509769196
ENSMUSG00000000167	na	4.105739066	4.832307658	5.199152189	4.683481743	4.105739066	4.939064	4.105739066	4.432532044	4.105739066	4.621745893	4.624557248	4.696294927	4.874693892	4.498325043	4.649508631	4.950375819	5.189340879	4.791977299	5.043662617	4.762517802	5.080024286
ENSMUSG00000000168	na	5.489185667	5.739113347	5.619002243	5.603588576	5.710867276	5.356858965	5.555800168	5.545945189	5.608206486	5.431148144	5.640127539	5.351359172	5.458369847	5.611632292	5.294903807	5.329796069	5.221142567	4.986311688	5.043662617	5.282347938	5.433044475
ENSMUSG00000000171	na	9.662758715	9.882516507	9.656023485	9.668966192	9.740575935	9.568207644	9.762449906	9.560913677	9.519585831	9.528612088	9.895402605	9.859961144	9.796377872	9.648257496	9.881182892	9.751320223	9.73818078	9.474639778	9.65003308	9.610784919	9.906442715
ENSMUSG00000000182	na	4.713990862	4.404967452	4.560992448	4.917509875	4.105739066	4.665526153	4.105739066	4.432532044	4.577397983	5.058826935	4.995061095	4.864695469	4.652650563	4.498325043	4.712808318	4.45465537	4.583868639	5.389439428	4.380870577	4.861999181	4.509769196
ENSMUSG00000000184	na	8.575618302	8.405375665	8.414751773	8.345299915	8.470042132	8.511740943	8.561342718	9.03471392	8.827516821	8.985520175	8.245716651	8.353315323	8.01483178	8.404538633	8.010589046	8.182139661	8.156337295	8.519853213	8.390792517	8.261816525	8.198201359
ENSMUSG00000000197	na	9.952393743	9.807885217	10.08372326	9.925107758	9.896432364	9.822611841	9.890631589	9.876380173	9.67190541	9.76113936	9.736945456	9.708399118	9.651119724	9.907320286	9.565988729	10.03915958	9.619474111	9.963907503	9.854793883	10.02531548	9.906442715
ENSMUSG00000000202	na	5.651902305	5.621291688	5.729194782	5.694744001	5.304570798	5.67024668	5.555800168	6.131940172	6.003624793	5.894910939	6.215938918	5.763698849	5.990380214	5.611632292	5.800107529	5.373284229	5.627279358	5.796004615	5.484464155	5.528674288	5.777509767
ENSMUSG00000000216	na	4.713990862	4.528160254	4.105739066	4.515620178	4.105739066	4.665526153	4.654483631	4.566916727	4.105739066	4.621745893	4.624557248	4.589036414	4.49361447	4.498325043	4.105739066	4.45465537	4.778892169	4.105739066	4.774683942	4.105739066	4.105739066
ENSMUSG00000000223	na	7.714660964	7.81784165	8.132242037	7.728708523	7.814343143	7.664808637	7.828108113	7.46331271	7.839281048	7.881100441	7.680627703	7.833891181	7.843640216	7.980790941	7.709827644	7.796593131	7.898813303	8.167135132	8.053645678	8.092434004	7.649699641
ENSMUSG00000000247	na	6.072540227	6.538194555	6.305385286	6.190751833	6.312587723	6.204007542	6.084950772	6.261180187	6.284954878	6.761560318	6.388635092	6.330586104	6.738453758	5.772589057	6.138396127	6.053102847	6.316431687	6.567083428	6.151520422	6.233953654	6.207812937
ENSMUSG00000000253	na	6.270191698	6.359506101	6.305385286	6.524710347	6.532944003	6.639582524	6.168073736	6.572819747	6.248335126	6.2733025	6.997359512	6.99631576	6.405522159	6.59682229	6.599357373	6.383795793	6.475571414	6.126931594	6.452425688	5.834685266	6.604452925
ENSMUSG00000000263	na	4.713990862	4.404967452	4.560992448	4.683481743	4.105739066	4.730637071	4.965826387	5.070157607	4.846653791	4.831695618	4.919653272	4.589036414	5.181058533	5.315300213	4.998512637	5.601981338	4.496721699	4.895723544	4.827230146	4.861999181	4.741499724
ENSMUSG00000000275	na	5.429047085	5.402257396	5.358963203	5.335738335	5.373051756	5.024281962	5.045243053	5.694171321	5.669253558	5.894910939	5.903661394	5.847056664	5.458369847	5.694912616	5.073594403	5.70069051	5.492672788	5.542130865	5.115980484	5.336591722	5.405711545
ENSMUSG00000000276	na	10.04227634	9.830447412	10.02747043	9.863586796	9.898813097	9.765001216	9.882945607	9.643286087	9.748668561	10.05639653	9.439979298	9.738366416	9.591467448	9.880075212	9.459647962	9.634899122	9.597123368	9.444802265	9.526408664	9.83576781	9.502135013
ENSMUSG00000000278	na	7.818184944	7.48550175	7.446954922	7.395594054	7.278541584	7.733603004	7.629807689	7.153394225	7.353254241	7.337283733	6.971231965	7.040498442	7.444656082	7.525060616	7.355758261	7.256608189	7.612997551	7.10996887	7.568992166	7.166875729	7.499383741
ENSMUSG00000000282	na	5.429047085	5.432214987	4.887921501	5.30471858	5.151070238	5.101376227	5.045243053	4.95968101	5.142641185	5.385912093	4.739480805	5.576671335	5.114385918	5.315300213	5.401591962	5.373284229	5.156396539	5.493622739	5.21437545	5.282347938	5.224038742
ENSMUSG00000000290	na	5.057267699	4.770147017	4.746948467	5.010449526	5.437211384	4.730637071	4.775830149	5.296972629	4.769860641	4.990338092	5.186788984	4.999765453	4.652650563	5.053224366	4.915556478	4.79859601	4.721153847	4.667786361	4.827230146	4.762517802	4.953375447
ENSMUSG00000000296	na	8.130815294	8.439839028	8.606502273	8.545396569	8.285396851	8.516930461	8.15731915	8.45977119	8.140419232	8.131700214	7.824522367	8.2318468	7.762285923	8.031405575	8.180845086	7.970516379	8.12368289	7.551980276	8.120549222	7.832588793	8.466275895
