#1.2																						
8413	21																					
Name	Description	SRX033480	SRX033488	SRX033481	SRX033489	SRX033482	SRX033490	SRX033483	SRX033476	SRX033478	SRX033479	SRX033472	SRX033473	SRX033474	SRX033475	SRX033491	SRX033484	SRX033492	SRX033485	SRX033493	SRX033486	SRX033494
ENSMUSG00000000001	na	9.245081261	9.197326723	9.052470074	9.162650282	9.185201638	9.135482878	9.181902676	8.818649771	9.17647695	8.618056316	8.547992985	8.923318673	8.722966001	9.00802989	9.016551407	9.222871034	9.119077097	8.732478165	8.995243798	9.082917775	9.269429899
ENSMUSG00000000056	na	5.969700819	6.0088654	6.019420793	5.770646267	5.567220725	6.056269283	6.006509144	6.123813018	5.897603071	6.389787649	6.251003053	6.123880011	6.091527949	6.021409459	5.863010517	5.861050441	5.777350517	5.848086405	5.971658115	5.973577142	5.919316736
ENSMUSG00000000058	na	5.711716608	5.953762981	5.631418574	5.728645267	5.672893918	5.640623052	5.733457591	5.46099127	6.162666435	5.751877063	5.578578585	5.718566607	6.062745109	5.580692272	5.640930768	5.7138486	5.739492524	5.691347335	5.54311809	5.402310541	5.572520431
ENSMUSG00000000078	na	9.708206257	9.417161557	9.28250511	9.238286631	9.297798268	9.228634733	9.452778575	8.61074365	9.174153643	8.914244026	8.673316694	8.833198687	8.854309762	9.346865388	9.253240958	9.294602952	9.565769946	9.42277111	9.475804106	9.490641517	9.044348885
ENSMUSG00000000088	na	8.838383343	9.263383918	8.994857877	9.11965593	8.988932057	8.856955273	8.951021857	8.652884566	8.834861267	8.658592301	9.152082762	9.156669104	9.112190519	9.081791491	9.54765755	9.853942645	9.182108378	9.247443499	9.241313629	9.554859406	9.492935895
ENSMUSG00000000093	na	5.500994841	5.529231126	5.687517591	5.728645267	6.195711356	5.802128348	5.654062623	6.218422582	6.221078751	6.147587243	5.946208568	5.912625718	5.874487044	5.784609766	5.681025985	5.429623202	5.739492524	6.303683582	5.587423765	5.297238665	5.72802079
ENSMUSG00000000120	na	5.889706634	5.656951613	6.280965044	6.771227056	6.195711356	6.402970634	6.644696669	7.534889864	6.162666435	5.717947208	6.689355012	5.805643628	5.907936087	5.535059093	7.068600499	7.205042192	5.065017456	6.973379233	5.197234362	5.402310541	6.037270058
ENSMUSG00000000125	na	5.889706634	5.529231126	5.977215615	5.888376728	6.01989499	6.040862802	5.56867126	6.272025064	5.921988231	5.937269342	5.453459166	5.912625718	5.940490269	6.051800219	5.700556742	5.682042707	5.235506692	5.290389769	5.496928554	5.351161561	5.663973903
ENSMUSG00000000126	na	7.521708823	7.470398553	6.915088344	6.682984985	7.110717366	6.769558007	7.279874489	6.063481168	7.523645287	8.116274305	7.781590984	7.841542428	8.625162081	7.838670648	7.179175922	6.7856243	7.397979139	7.520636007	7.297890477	7.173674423	6.60134444
ENSMUSG00000000127	na	7.650818535	7.356070922	7.466418933	7.221166041	7.283283635	7.254001681	7.447463021	7.206188641	7.056847665	7.094514693	7.177255963	7.174177691	7.226910566	7.324221455	7.264108829	7.292793484	7.483354847	7.04914468	7.457532311	7.161327517	7.366496896
ENSMUSG00000000131	na	10.41524578	10.53438486	10.38913054	10.54142508	10.52782938	10.51523448	10.52349834	10.58116757	10.47151473	10.7053402	10.75824517	10.80612078	10.73647337	10.72016179	10.59144243	10.62748273	10.74383221	10.79012756	10.64167884	10.77508572	10.46578372
ENSMUSG00000000149	na	10.51649872	10.84345253	10.62397549	10.85308915	10.87838979	10.78090064	10.70568306	11.55667174	11.07519149	11.16599526	10.94763172	11.12719234	10.87710709	10.65957031	10.66315792	10.62191997	10.45109434	10.69954706	10.61188535	10.4607564	10.71897349
ENSMUSG00000000168	na	5.500994841	5.749643595	5.631418574	5.616404677	5.722247425	5.371490917	5.56867126	5.56001274	5.62148316	5.446582378	5.654692487	5.366950114	5.473483388	5.624511383	5.309101768	5.344894499	5.235506692	5.004578298	5.059132518	5.297238665	5.446278428
ENSMUSG00000000171	na	9.661977183	9.882259479	9.658193014	9.671757324	9.741700635	9.571980311	9.764745367	9.565701868	9.523443949	9.535136724	9.90195281	9.865783298	9.802351444	9.651277094	9.882821573	9.755740404	9.739084482	9.483047423	9.650611496	9.614106554	9.907851612
ENSMUSG00000000184	na	8.575941255	8.406576806	8.418091118	8.349326368	8.47236848	8.516424629	8.564669989	9.039860212	8.831914959	8.992387864	8.25347538	8.36025771	8.022322214	8.408688423	8.014190298	8.18795121	8.158937838	8.528898889	8.392663842	8.266423952	8.201286827
ENSMUSG00000000197	na	9.951428574	9.80767296	10.08566513	9.927760466	9.897467285	9.826244275	9.892857671	9.881006242	9.67567416	9.767550703	9.743563683	9.714290811	9.657162165	9.910199623	9.567815712	10.04344634	9.620453618	9.972113786	9.855245521	10.02842135	9.907851612
ENSMUSG00000000202	na	5.662634003	5.632553096	5.740994417	5.70706138	5.3184656	5.683170707	5.56867126	6.143302563	6.014954841	5.908285347	6.228207831	5.777330218	6.003120524	5.624511383	5.81130309	5.38814374	5.639039407	5.810812732	5.496928554	5.542146965	5.788712663
ENSMUSG00000000223	na	7.716589505	7.820123649	8.136003072	7.733769985	7.817787326	7.670812057	7.832580799	7.470609634	7.845005172	7.889166706	7.689184555	7.841542428	7.851385997	7.985578893	7.714017317	7.803012736	7.90188717	8.176533392	8.056077284	8.097294765	7.65383152
ENSMUSG00000000247	na	6.080755469	6.544557513	6.31434521	6.200629497	6.320852133	6.214422562	6.095036687	6.272025064	6.295071674	6.771967955	6.400314189	6.341960887	6.748609905	5.784609766	6.147859413	6.064632693	6.324529853	6.579403655	6.160163758	6.243964855	6.216810137
ENSMUSG00000000253	na	6.277361209	6.366681628	6.31434521	6.533207121	6.540251728	6.648328869	6.177771415	6.582532477	6.258601775	6.28524119	7.007304292	7.005676766	6.416721495	6.605204779	6.606825338	6.39399422	6.482963006	6.140572503	6.459650858	5.846543716	6.611744828
ENSMUSG00000000275	na	5.441268545	5.414954562	5.372924326	5.350105971	5.386500909	5.040897016	5.061283341	5.707499678	5.682211537	5.908285347	5.91711253	5.860323902	5.473483388	5.707341639	5.089250311	5.7138486	5.505261288	5.557935506	5.13093423	5.351161561	5.419116302
ENSMUSG00000000276	na	10.04126104	9.830221384	10.02943866	9.866270628	9.899846717	9.768663361	9.885175684	9.648028616	9.752395581	10.06268713	9.446745996	9.744243797	9.597540153	9.882968187	9.461547886	9.639380968	9.598117828	9.453224431	9.527072395	9.838964982	9.503791375
ENSMUSG00000000278	na	7.819873415	7.488585505	7.452093284	7.401393303	7.283283635	7.739472414	7.63468755	7.161405918	7.359983101	7.346307695	6.981240792	7.049748162	7.453107245	7.530743039	7.360787027	7.264147595	7.61668939	7.121001274	7.57245768	7.173674423	7.50386661
ENSMUSG00000000282	na	5.441268545	5.444710073	4.904967503	5.319273858	5.165993722	5.117517371	5.061283341	4.97700189	5.158552095	5.401564174	4.758568403	5.591159504	5.131256639	5.329880249	5.415116482	5.38814374	5.171203376	5.509627463	5.228640717	5.297238665	5.23861257
