SRX033480 SRX033488 SRX033481 SRX033489 SRX033482 SRX033490 SRX033483 SRX033476 SRX033478 SRX033479 SRX033472 SRX033473 SRX033474 SRX033475 SRX033491 SRX033484 SRX033492 SRX033485 SRX033493 SRX033486 SRX033494
ENSMUSG00000000001 9.24508126132764 9.1973267234727 9.05247007358067 9.16265028244075 9.1852016379796 9.13548287799142 9.18190267587549 8.81864977106328 9.17647694964583 8.61805631554925 8.5479929854067 8.92331867274662 8.72296600100744 9.00802988976712 9.0165514066215 9.22287103415575 9.11907709722841 8.73247816549309 8.99524379774551 9.08291777494478 9.26942989928741
ENSMUSG00000000056 5.96970081944573 6.0088654002554 6.01942079339375 5.77064626737323 5.56722072465036 6.05626928295071 6.00650914397118 6.12381301821664 5.89760307063694 6.38978764869518 6.25100305259373 6.12388001080583 6.09152794948533 6.02140945884572 5.86301051690013 5.86105044075565 5.77735051667924 5.84808640521662 5.97165811454052 5.97357714175369 5.9193167355844
ENSMUSG00000000058 5.71171660843958 5.95376298061959 5.63141857359804 5.7286452670229 5.67289391758021 5.64062305178808 5.73345759106743 5.4609912702723 6.16266643542373 5.75187706287162 5.57857858488065 5.71856660698816 6.06274510850816 5.58069227164533 5.64093076844284 5.71384860049236 5.73949252434633 5.69134733533241 5.54311808981188 5.40231054120023 5.57252043126163
ENSMUSG00000000078 9.70820625693934 9.41716155677065 9.28250511020158 9.23828663114102 9.29779826809803 9.22863473262119 9.45277857495716 8.6107436498381 9.17415364307544 8.91424402595549 8.67331669392587 8.83319868723232 8.85430976198396 9.34686538802605 9.25324095836941 9.29460295159047 9.56576994571439 9.4227711098688 9.47580410563902 9.49064151707983 9.0443488850682
ENSMUSG00000000088 8.83838334306598 9.26338391819095 8.99485787742255 9.11965593020319 8.98893205745719 8.85695527267541 8.95102185748592 8.65288456588021 8.83486126738959 8.65859230065331 9.1520827616481 9.15666910430397 9.11219051937726 9.08179149131651 9.54765755031218 9.85394264486947 9.18210837779676 9.24744349942257 9.24131362925944 9.55485940564408 9.4929358947457
ENSMUSG00000000093 5.50099484077337 5.52923112608774 5.68751759056064 5.7286452670229 6.19571135630048 5.80212834787545 5.65406262270754 6.21842258176955 6.22107875050657 6.14758724292597 5.94620856816185 5.91262571781158 5.87448704376143 5.78460976616991 5.68102598482138 5.42962320211273 5.73949252434633 6.30368358229504 5.58742376549498 5.29723866496277 5.72802078962113
ENSMUSG00000000120 5.88970663384637 5.65695161288547 6.2809650442115 6.7712270562869 6.19571135630048 6.40297063381551 6.64469666874559 7.53488986403183 6.16266643542373 5.71794720829818 6.68935501164817 5.80564362779641 5.90793608686308 5.53505909334458 7.06860049939113 7.20504219247159 5.06501745627027 6.97337923308491 5.19723436217201 5.40231054120023 6.03727005786348
ENSMUSG00000000125 5.88970663384637 5.52923112608774 5.9772156151174 5.88837672841898 6.01989499022197 6.04086280189518 5.56867125988012 6.27202506430599 5.92198823050614 5.93726934166379 5.45345916555492 5.91262571781158 5.94049026935506 6.05180021931889 5.70055674211776 5.68204270696807 5.23550669165494 5.29038976935177 5.49692855429553 5.35116156050548 5.66397390340164
ENSMUSG00000000126 7.5217088225843 7.47039855266341 6.9150883435362 6.6829849849578 7.11071736618833 6.76955800697682 7.27987448866038 6.06348116814074 7.52364528724552 8.1162743049913 7.78159098423401 7.84154242828794 8.62516208121959 7.83867064768927 7.17917592172695 6.78562429965163 7.39797913874257 7.52063600730034 7.29789047727364 7.17367442300166 6.60134443956133
ENSMUSG00000000127 7.65081853530497 7.35607092159298 7.46641893338908 7.22116604095255 7.28328363532724 7.25400168097454 7.44746302118947 7.20618864100568 7.05684766460176 7.09451469259133 7.17725596264096 7.17417769130939 7.2269105661299 7.32422145515338 7.2641088285595 7.29279348401326 7.4833548466868 7.04914467960212 7.45753231148978 7.16132751739921 7.36649689593506
