NAME	SIZE	ES	NES	NOM_p-val	FDR_q-val	FWER_p-val	RANK_AT_MAX	LEADING_EDGE		
KEGG_SPHINGOLIPID_METABOLISM	30	-0.57905364	-1.9660455	0.002020202	0.003928488	0.005	198	tags=10%,	list=2%,	signal=10%
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	15	-0.22082451	-0.4920871	0.9634615	0.9961073	1	2055	tags=27%,	list=19%,	signal=33%
KEGG_GLIOMA	37	-0.18306233	-0.59918135	0.96705425	0.996893	1	2452	tags=24%,	list=23%,	signal=32%
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	31	-0.5264035	-1.3816592	0.0655106	1	0.959	863	tags=23%,	list=8%,	signal=25%
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	16	-0.564149	-1.2991028	0.17008197	1	0.997	2447	tags=50%,	list=23%,	signal=65%
KEGG_STEROID_HORMONE_BIOSYNTHESIS	16	-0.57993895	-1.2816925	0.14784394	1	0.999	2299	tags=56%,	list=22%,	signal=72%
KEGG_REGULATION_OF_AUTOPHAGY	16	-0.36669558	-1.2736282	0.15748031	1	1	2692	tags=31%,	list=25%,	signal=42%
KEGG_HUNTINGTONS_DISEASE	116	-0.3579648	-1.2485168	0.1124031	1	1	1167	tags=16%,	list=11%,	signal=17%
KEGG_GLYCEROLIPID_METABOLISM	36	-0.41660288	-1.2374154	0.1259542	1	1	926	tags=17%,	list=9%,	signal=18%
KEGG_RNA_POLYMERASE	19	-0.4404129	-1.222332	0.23260437	1	1	983	tags=16%,	list=9%,	signal=17%
KEGG_PRION_DISEASES	18	-0.41277477	-1.183624	0.23408625	1	1	903	tags=17%,	list=9%,	signal=18%
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	26	-0.3470382	-1.1684175	0.26422763	1	1	315	tags=8%,	list=3%,	signal=8%
KEGG_PYRIMIDINE_METABOLISM	57	-0.34067184	-1.147214	0.23517382	1	1	983	tags=16%,	list=9%,	signal=17%
KEGG_CELL_CYCLE	76	-0.35763362	-1.1232663	0.26530612	1	1	1238	tags=21%,	list=12%,	signal=24%
KEGG_P53_SIGNALING_PATHWAY	48	-0.41121167	-1.1195666	0.2874494	1	1	1080	tags=27%,	list=10%,	signal=30%
KEGG_HISTIDINE_METABOLISM	18	-0.42951247	-1.1122564	0.2965932	1	1	1410	tags=39%,	list=13%,	signal=45%
KEGG_TYROSINE_METABOLISM	21	-0.4050438	-1.0875245	0.30518234	1	1	1410	tags=33%,	list=13%,	signal=38%
KEGG_LYSOSOME	73	-0.27074254	-1.0807028	0.35797665	1	1	3328	tags=26%,	list=31%,	signal=38%
KEGG_RETINOL_METABOLISM	18	-0.47077265	-1.0693804	0.346856	1	1	1051	tags=33%,	list=10%,	signal=37%
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	44	-0.39204982	-1.0556693	0.36883628	1	1	1434	tags=27%,	list=14%,	signal=31%
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	16	-0.39230084	-1.0332192	0.3976143	1	1	1145	tags=25%,	list=11%,	signal=28%
KEGG_HEMATOPOIETIC_CELL_LINEAGE	43	-0.38124442	-1.0304797	0.39562625	1	1	1130	tags=30%,	list=11%,	signal=34%
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	22	-0.37062302	-1.0287863	0.40625	1	1	651	tags=14%,	list=6%,	signal=14%
KEGG_INOSITOL_PHOSPHATE_METABOLISM	27	-0.3102497	-1.0158238	0.42524272	1	1	2954	tags=37%,	list=28%,	signal=51%
KEGG_RIBOSOME	48	-0.3810253	-1.0106609	0.42610365	1	1	1407	tags=31%,	list=13%,	signal=36%
KEGG_SMALL_CELL_LUNG_CANCER	51	-0.3211779	-0.99262166	0.49101797	1	1	1346	tags=20%,	list=13%,	signal=22%
KEGG_CITRATE_CYCLE_TCA_CYCLE	18	-0.3729958	-0.9638975	0.5179283	1	1	3131	tags=44%,	list=30%,	signal=63%
