NAME	SIZE	ES	NES	NOM_p-val	FDR_q-val	FWER_p-val	RANK_AT_MAX	LEADING_EDGE		
GOBP_RNA_MODIFICATION	102	0.52345616	2.1297536	0	0.026942126	0.032	1849	"tags=31%,"	"list=19%,"	signal=38%
GOBP_RRNA_MODIFICATION	18	0.682677	2.0938063	0	0.02913752	0.052	1091	"tags=28%,"	"list=11%,"	signal=31%
GOBP_RNA_METHYLATION	46	0.6496873	2.1327088	0	0.048907015	0.032	1662	"tags=43%,"	"list=17%,"	signal=52%
GOBP_DNA_CONFORMATION_CHANGE	48	0.626783	1.9797163	0.002070393	0.069940284	0.206	2039	"tags=48%,"	"list=21%,"	signal=61%
GOBP_RNA_CAPPING	18	0.69120365	1.9939258	0	0.07357723	0.18	1311	"tags=44%,"	"list=14%,"	signal=51%
GOBP_CENTROSOME_DUPLICATION	41	0.51984704	1.9124669	0.002016129	0.13381518	0.371	1824	"tags=34%,"	"list=19%,"	signal=42%
GOBP_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT	115	0.39683506	1.7472351	0.006012024	0.14825206	0.863	2080	"tags=31%,"	"list=22%,"	signal=40%
GOBP_POSITIVE_REGULATION_OF_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION	20	0.6024316	1.7486408	0.006479482	0.15114452	0.861	553	"tags=25%,"	"list=6%,"	signal=26%
GOBP_REGULATION_OF_CENTROSOME_CYCLE	28	0.5297831	1.7570695	0.006160164	0.15350321	0.846	1601	"tags=29%,"	"list=17%,"	signal=34%
GOBP_NUCLEAR_CHROMOSOME_SEGREGATION	163	0.44248894	1.7497702	0.022267206	0.15423979	0.857	1723	"tags=32%,"	"list=18%,"	signal=38%
GOBP_RESPONSE_TO_ANTIBIOTIC	21	0.63160217	1.7398627	0.002070393	0.15445471	0.884	416	"tags=29%,"	"list=4%,"	signal=30%
GOBP_RNA_LOCALIZATION	97	0.3788253	1.7528566	0.014492754	0.15484604	0.854	3587	"tags=51%,"	"list=37%,"	signal=80%
GOBP_MRNA_PROCESSING	256	0.31872323	1.8557824	0.01002004	0.15500097	0.581	2403	"tags=26%,"	"list=25%,"	signal=33%
GOBP_TRANSLATIONAL_ELONGATION	30	0.51613826	1.7572026	0.021696253	0.15900923	0.846	536	"tags=20%,"	"list=6%,"	signal=21%
GOBP_POSTREPLICATION_REPAIR	18	0.73370254	1.7611125	0.001968504	0.15977052	0.838	1720	"tags=67%,"	"list=18%,"	signal=81%
GOBP_CELL_CYCLE_CHECKPOINT_SIGNALING	100	0.4316063	1.7643875	0.006276151	0.16133027	0.831	2490	"tags=42%,"	"list=26%,"	signal=56%
GOBP_DNA_TEMPLATED_DNA_REPLICATION	87	0.5178681	1.8718545	0.02258727	0.16155225	0.521	3191	"tags=61%,"	"list=33%,"	signal=91%
GOBP_RECOMBINATIONAL_REPAIR	82	0.5163775	1.7658697	0.018442623	0.16531335	0.827	2274	"tags=46%,"	"list=24%,"	signal=60%
GOBP_NUCLEOTIDE_TRANSPORT	24	0.6269633	1.7876991	0	0.16635476	0.769	1909	"tags=50%,"	"list=20%,"	signal=62%
GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_REMOVAL	72	0.39058718	1.7933005	0.005847953	0.16658182	0.76	2703	"tags=40%,"	"list=28%,"	signal=56%
GOBP_CHROMOSOME_ORGANIZATION	305	0.40509343	1.7687808	0.012345679	0.16659391	0.821	2520	"tags=36%,"	"list=26%,"	signal=47%
GOBP_DNA_INTEGRITY_CHECKPOINT_SIGNALING	67	0.44018835	1.7817657	0	0.16735485	0.782	2633	"tags=48%,"	"list=27%,"	signal=65%
GOBP_CHROMOSOME_SEGREGATION	196	0.44824168	1.7715064	0.018556701	0.17010427	0.814	2514	"tags=42%,"	"list=26%,"	signal=56%
GOBP_MRNA_MODIFICATION	17	0.57532096	1.7966315	0.001992032	0.17032391	0.752	2151	"tags=41%,"	"list=22%,"	signal=53%
GOBP_TRNA_MODIFICATION	56	0.52674675	1.8560604	0.012121212	0.17151612	0.58	2667	"tags=43%,"	"list=28%,"	signal=59%
GOBP_HISTONE_H3_K9_MODIFICATION	21	0.7202698	1.8773724	0	0.17237563	0.498	1075	"tags=48%,"	"list=11%,"	signal=54%
GOBP_DOUBLE_STRAND_BREAK_REPAIR	135	0.4441648	1.7731055	0.008064516	0.1751349	0.811	1939	"tags=35%,"	"list=20%,"	signal=43%
